"Timestamp","RuleTitle","Level","Computer","Channel","EventID","RecordID","Details","ExtraFieldInfo","RuleID"
"2026-04-13 16:31:24.916 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1272,"Proc: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe ¦ PID: 3780 ¦ PGUID: 3AA4710A-6065-69DD-8D02-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:24.907","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:24.919 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1274,"Proc: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.109\elevation_service.exe ¦ PID: 6636 ¦ PGUID: 3AA4710A-6065-69DD-9302-000000001E00","RuleName: - ¦ User: NT AUTHORITY\SYSTEM ¦ UtcTime: 2026-04-13 21:31:24.907","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:24.925 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1275,"Proc: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe ¦ PID: 8728 ¦ PGUID: 3AA4710A-6065-69DD-9202-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:24.922","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:24.926 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1277,"Proc: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe ¦ PID: 1192 ¦ PGUID: 3AA4710A-6065-69DD-9102-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:24.922","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:24.926 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1279,"Proc: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe ¦ PID: 3240 ¦ PGUID: 3AA4710A-6065-69DD-9002-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:24.922","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:24.955 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1281,"Proc: C:\Windows\System32\dllhost.exe ¦ PID: 8068 ¦ PGUID: 3AA4710A-5B7F-69DD-C000-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:24.954","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:24.956 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1282,"Proc: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe ¦ PID: 1904 ¦ PGUID: 3AA4710A-6065-69DD-8E02-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:24.954","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:25.003 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1284,"Proc: C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe ¦ PID: 5924 ¦ PGUID: 3AA4710A-5B83-69DD-C100-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:25.001","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:25.004 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1286,"Proc: C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe ¦ PID: 5196 ¦ PGUID: 3AA4710A-5B58-69DD-7400-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:25.001","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:25.025 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1288,"Proc: C:\Windows\ImmersiveControlPanel\SystemSettings.exe ¦ PID: 9120 ¦ PGUID: 3AA4710A-5F0D-69DD-3D02-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:25.017","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:25.033 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1290,"Proc: C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe ¦ PID: 4068 ¦ PGUID: 3AA4710A-5B58-69DD-7200-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:25.017","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:25.364 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1292,"Proc: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe ¦ PID: 5660 ¦ PGUID: 3AA4710A-5B58-69DD-7800-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:25.361","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:25.461 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1294,"Proc: C:\Windows\explorer.exe ¦ PID: 4720 ¦ PGUID: 3AA4710A-5B56-69DD-6300-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:25.454","02353fdd-522c-48f8-9243-28d4830ebc1e"
"2026-04-13 16:31:25.480 -05:00","Proc Terminated","info","W10PRO","Sysmon",5,1296,"Proc: C:\Windows\System32\RuntimeBroker.exe ¦ PID: 5832 ¦ PGUID: 3AA4710A-5B59-69DD-7900-000000001E00","RuleName: - ¦ User: W10PRO\ucjc ¦ UtcTime: 2026-04-13 21:31:25.470","02353fdd-522c-48f8-9243-28d4830ebc1e"
